material_id,pretty_formula,band_gap
mp-10080,PrGeBO5,4.0136
mp-1020145,Na2Ge(S2O7)3,4.003
mp-1021327,KLiICl,4.0542
mp-1029718,CsC2N3,4.0731
mp-1029920,Y2(CN2)3,4.0364
mp-10326,Zn(ReO4)2,4.0065
mp-1036532,NaMg14AlO16,4.0426
mp-1036839,SrMg30NiO32,4.0604
mp-1037547,Mg30ZnNiO32,4.0421000000000005
mp-1037710,KYMg30O32,4.0237
mp-1038123,CaMg30NiO32,4.0006
mp-1038124,CaMg30FeO32,4.0606
mp-1039695,NaMg30GaO32,4.0585
mp-1040205,KMg30BO32,4.0165
mp-1040209,KMg30GaO32,4.033199999999999
mp-1060281,BN,4.0137
mp-1064952,NaN3,4.0425
mp-1070852,YbHCl,4.075200000000001
mp-1079609,Bi(BO2)3,4.008100000000001
mp-1079630,Ba2TaInO6,4.052
mp-1080506,Sr2TaInO6,4.0244
mp-1099253,Mg3NiO4,4.0475
mp-1101377,ScHO2,4.0036
mp-1101379,ScHO2,4.023
mp-1101482,NaLi2FePCO7,4.031499999999999
mp-1101653,NaDyO2,4.0747
mp-1101793,YSeO3F,4.0023
mp-1105197,Cs2PaF7,4.0373
mp-1105453,SbPbF7,4.0524000000000004
mp-1110636,Na3BiF6,4.0014
mp-1111164,K3ScCl6,4.0634999999999994
mp-1111230,K2NaPrBr6,4.0149
mp-1111232,K2NaNdBr6,4.0289
mp-1111487,Na3YCl6,4.0119
mp-1111497,K3BiCl6,4.0671
mp-1111623,K2NaSbF6,4.0336
mp-1111656,K2LiYBr6,4.0408
mp-1111891,Na3LuCl6,4.0633
mp-1111895,Na3DyCl6,4.0483
mp-1111896,Na3ErCl6,4.0522
mp-1112645,Cs3YBr6,4.0698
mp-1112666,Cs2LiYBr6,4.0535
mp-1112786,Cs2KBiCl6,4.0624
mp-1113062,Cs2YInF6,4.062
mp-1113284,Na2LiTmCl6,4.0138
mp-1113313,Na3TbCl6,4.0142999999999995
mp-1113316,Na2LiLuCl6,4.0337
mp-1114410,KRb2ScCl6,4.0632
mp-1114570,Rb2LiNdBr6,4.0028
mp-1114582,Rb2LiYBr6,4.0385
mp-1114592,Rb2NaNdBr6,4.0601
mp-1114594,Rb2NaPrBr6,4.0479
mp-11601,NaErO2,4.0701
mp-11736,ZrSiO4,4.031500000000001
mp-1173736,Na3CaAl3Si3SO16,4.0002
mp-1177866,Li2SbPCO7,4.0412
mp-1178504,BaSrI4,4.0608
mp-1179079,Ta2H4O7,4.0020999999999995
mp-1183276,AlTl2F5,4.0615
mp-1185571,CsAs(HO2)2,4.0245
mp-1189516,Na3ScCl6,4.0379000000000005
mp-1189614,BaThO3,4.044
mp-1189850,H6C2SeO,4.023899999999999
mp-1190396,Sm2ZnTe2(SO7)2,4.0282
mp-1190527,Dy2ZnTe2(SO7)2,4.0013
mp-11917,Mg(BeN)2,4.073000000000001
mp-1192189,MgO,4.0482
mp-1192532,SiH2,4.0154
mp-1193749,RbMgPO4,4.0706
mp-1195447,Rb8Th(MoO4)6,4.004300000000001
mp-1195570,Th(SeO3)2,4.0184999999999995
mp-1195712,K4H6W2S2O9,4.0712
mp-1195934,Na2Zn3H4(Se2O7)2,4.0729999999999995
mp-1196297,CsRb2Sb4F15,4.0177000000000005
mp-1196931,Rb2BiPWO8,4.0005999999999995
mp-1197011,As2S2O9,4.073
mp-1197240,Ca4Ce2TiSi4(BO6)4,4.046
mp-1197331,HoAl3(H3C)12,4.0129
mp-1197939,CaCO3,4.0435
mp-1198234,Li3V(H4O3)4,4.0368
mp-1198292,NdH24C4I3(NO)8,4.0261
mp-1199136,K2SmMoPO8,4.0200000000000005
mp-1199670,Rb5Er(MoO4)4,4.0262
mp-1199829,AlH15Br3N5,4.0056
mp-1200024,FeBP(HO3)2,4.0538
mp-1200203,Bi2(S2O7)3,4.0165999999999995
mp-1200428,KMgAs(H6O5)2,4.0137
mp-1201060,NaSrPH18SO12,4.0609
mp-1201415,Li3V(H4O3)4,4.070600000000001
